"","V.device.id","V.device.location","V.message","V.message1","V.route","V.bound","V.mile.post","V.source.type","V.start.time","V.end.time","V.duration","V.frames","V.lines.per.frame","V.intent","V.slow","V.caution","V.speed","V.canyon","V.select.location","V.select.message"
"1",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","SNOW REMOVAL THRU CANYON USE CAUTION   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">SNOW REMOVAL<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","tylerjharris",2020-01-03 09:13:00,2020-01-03 16:40:00,26820,1,3,"weather",FALSE,TRUE,FALSE,"Sardine","true","true"
"2",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","SNOW REMOVAL THROUGH CANYON USE CAUTION   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">SNOW REMOVAL<BR/><VTAB PIXELS=""3""/>THROUGH CANYON<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","calebbanks",2020-01-04 08:12:00,2020-01-04 17:00:00,31680,1,3,"weather",FALSE,TRUE,FALSE,"Sardine","true","true"
"3",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","SNOW REMOVAL THRU CANYON USE CAUTION   ","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""30"" VALIGN=""middle"">SNOW REMOVAL<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","sfugate",2020-01-04 22:23:00,2020-01-05 03:49:00,19560,1,3,"weather",FALSE,TRUE,FALSE,"Sardine","true","true"
"4",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING CONDITIONS IN CANYON WINTER DRIVING CONDITIONS USE CAUTION","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""30"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>IN CANYON</PHASE><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","atclark",2020-01-05 13:21:00,2020-01-05 23:28:00,36420,2,3,"weather",FALSE,TRUE,FALSE,"Sardine","true","true"
"5",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING CONDITIONS THROUGH CANYON WINTER DRIVING CONDITIONS USE CAUTION","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>THROUGH CANYON</PHASE><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","lbradshaw",2020-01-05 23:28:00,2020-01-06 09:00:00,34320,2,3,"weather",FALSE,TRUE,FALSE,"Sardine","true","true"
"6",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING THRU CANYON USE CAUTION WINTER DRIVING THRU CANYON REDUCE SPEED","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","dfell",2020-01-08 08:58:00,2020-01-08 17:00:00,28920,2,3,"weather",FALSE,TRUE,TRUE,"Sardine","true","true"
"7",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING CONDITIONS USE CAUTION WINTER DRIVING CONDITIONS REDUCE SPEED","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","lbradshaw",2020-01-09 03:39:00,2020-01-09 07:51:00,15120,2,3,"weather",FALSE,TRUE,TRUE,"Sardine","true","true"
"8",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING THRU CANYON USE CAUTION WINTER DRIVING THRU CANYON REDUCE SPEED","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>THRU CANYON<BR/><VTAB PIXELS=""3""/>REDUCE SPEED</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","dfell",2020-01-09 07:51:00,2020-01-09 14:31:00,24000,2,3,"weather",FALSE,TRUE,TRUE,"Sardine","true","true"
"9",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING CONDITIONS THROUGH CANYON WINTER DRIVING CONDITIONS USE CAUTION","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>THROUGH CANYON</PHASE><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","lbradshaw",2020-01-09 20:14:00,2020-01-09 22:28:00,8040,2,3,"weather",FALSE,TRUE,FALSE,"Sardine","true","true"
"10",100006,"US-89/91 / 1100 S @ Michelle Dr / MP 2.26, BRC","WINTER DRIVING CONDITIONS THROUGH CANYON WINTER DRIVING CONDITIONS USE CAUTION","<TEXT_MESSAGE BEACON=""0"" FONT=""6""><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>THROUGH CANYON</PHASE><PHASE HALIGN=""center"" PHASEOFF=""0"" PHASEON=""50"" VALIGN=""middle"">WINTER DRIVING<BR/><VTAB PIXELS=""3""/>CONDITIONS<BR/><VTAB PIXELS=""3""/>USE CAUTION</PHASE></TEXT_MESSAGE>","US-89/91","/","2.26","lbradshaw",2020-01-09 22:28:00,2020-01-10 04:44:00,22560,2,3,"weather",FALSE,TRUE,FALSE,"Sardine","true","true"
